"Reporting Business Unit","Country of Origin","Campaign Name","Owner","Campaign Type","Category","Sub-Category","Primary Campaign Purpose","Num Sent in Campaign","Responses in Campaign","Created Date","Start Date","Product of Interest","Campaign Status","Budgeted Cost in Campaign (converted) Currency","Budgeted Cost in Campaign (converted)","Expected Revenue in Campaign (converted) Currency","Expected Revenue in Campaign (converted)","Opportunities in Campaign","Value Opportunities in Campaign Currency","Value Opportunities in Campaign","Won Opportunities in Campaign","Value Won Opportunities in Campaign Currency","Value Won Opportunities in Campaign","Actual Cost in Campaign (converted) Currency","Actual Cost in Campaign (converted)","ROI","Campaign ID","SF Campaign Id"
"LatAmENT","Colombia","LATAM_COL_BOG_IBMBogota_Ent_Jun2023","Camila Rodriguez","Tradeshow","Event","Physical","Sales Tracking","120","0","07-17-2023","06-12-2023","It Solution - IaaS","Completed","USD","200.00","USD","0.00","1","USD","65106.38","1","USD","65106.38","USD","200.00","32453.1914893617","7014X000002ehs3QAA","7014X000002ehs3QAA"
"LatAmENT","Colombia","LATAM_COL_BAQ_EVENT_VulnerabilityOTF_APR2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","04-17-2024","Security","Completed","USD","1500.00","","","0","USD","0.00","0","USD","0.00","USD","1003.00","-100.0000000000","7014X000002exwYQAQ","7014X000002exwYQAQ"
"LatAmENT","Colombia","LATAM_COL_MED_EVENT_VulnerabilityOTF_APR2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","04-19-2024","Security","Completed","USD","1500.00","","","0","USD","0.00","0","USD","0.00","USD","902.00","-100.0000000000","7014X000002exwdQAA","7014X000002exwdQAA"
"LatAmENT","Colombia","LATAM_COL_Costa_EVENT_DatacenterMeet_FEB2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-05-2024","02-21-2024","Cloud IT","Completed","USD","700.00","","","1","USD","142114.56","1","USD","142114.56","USD","312.00","45449.5370770961","7014X000002exweQAA","7014X000002exweQAA"
"LatAmENT","Colombia","LATAM_COL_BAQ_EVENT_AntiramsomwareMeetings_JUN2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","07-19-2024","Security","Planned","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exwfQAA","7014X000002exwfQAA"
"LatAmENT","Colombia","LATAM_COL_BAQ_EVENT_ProbarranquillaDonación _2024","Camila Rodriguez","Advertisement","Event","Partner/Sponsor","Brand Awareness","0","0","04-01-2024","04-30-2024","Cloud IT; Networking & Connectivity; None; Security","In Progress","USD","2500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exhYQAQ","7014X000002exhYQAQ"
"","Colombia","LATAM_COL_BUC_EVENT_ZFMeet_AGO2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","08-15-2024","Cloud IT; Networking & Connectivity; Security","Planned","USD","1200.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exphQAA","7014X000002exphQAA"
"LatAmENT","Colombia","LATAM_COL_Costa_EVENT_CFXMeetings _2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","05-11-2024","Networking & Connectivity","Planned","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exi7QAA","7014X000002exi7QAA"
"LatAmSMB","Colombia","LATAM_COL__EVENT_TomaEdificios_MID_2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","05-17-2024","Cloud IT; Networking & Connectivity; Security","Planned","USD","2000.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exhTQAQ","7014X000002exhTQAQ"
"LatAmENT","Colombia","LATAM_COL_BOG_EVENT_BreakfastMeetings_2024","Camila Rodriguez","Advertisement","Event","One-to-One","Lead Generation","0","0","04-01-2024","05-08-2024","Cloud IT; Networking & Connectivity; Security","In Progress","USD","6000.00","","","0","USD","0.00","0","USD","0.00","USD","283.00","-100.0000000000","7014X000002exhnQAA","7014X000002exhnQAA"
"","Colombia","LATAM_COL_prod_SmartSolutions_Mid_Jan_2024","Camila Rodriguez","Email","Email","Offer Email","Other","0","0","09-13-2023","01-20-2024","Security; Networking","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X0000036WbDQAU","7014X0000036WbDQAU"
"LatAmENT","Colombia","LATAM_COL_LEADSENT_2024","Camila Rodriguez","Advertisement","Website","","Lead Generation","0","0","05-01-2024","01-01-2024","Cloud IT; Networking & Connectivity; Security","In Progress","USD","0.00","","","0","USD","0.00","0","USD","0.00","USD","0.00","","7014X000002ezCLQAY","7014X000002ezCLQAY"
"LatAmENT","Colombia","LATAM_COL_BOG_ENT_SDWANTour_Nov_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","","394","09-18-2023","11-23-2023","Security","In Progress","USD","1500.00","USD","3000.00","1","USD","78515.91","0","USD","0.00","USD","1500.00","-100.0000000000","7014X0000036WixQAE","7014X0000036WixQAE"
"LatAmENT","Colombia","col_prod_topaccounts_ent_2023","Camila Rodriguez","Email","Email","Offer Email","Lead Generation","117","0","02-08-2023","02-20-2023","Security; It Solution; Networking","Completed","USD","4666.00","USD","0.00","0","USD","0.00","0","USD","0.00","USD","298.00","-100.0000000000","7014X000001ymMGQAY","7014X000001ymMGQAY"
"LatAmSMB","Colombia","LATAM_COL_MED_OnetoFewMed_Mid_Mar2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","50","0","02-06-2023","03-02-2023","Security; Networking","Completed","USD","2200.00","USD","3000.00","25","USD","433227.12","11","USD","82856.34","USD","2143.00","3766.3713426202","7014X000001ym7GQAQ","7014X000001ym7GQAQ"
"LatAmENT","Colombia","LATAM_COL_Info_RazonSocial_Ent_Jul2023","Camila Rodriguez","Email","Email","Offer Email","Other","542","1","07-14-2023","07-14-2023","PUSH TO TALK","Completed","USD","200.00","USD","0.00","0","USD","0.00","0","USD","0.00","USD","200.00","-100.0000000000","7014X000002ehgRQAQ","7014X000002ehgRQAQ"
"","Colombia","LATAM_COL_BAQ_EVENT_CTNubePublica_JUN2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-01-2024","06-23-2024","Cloud IT; Networking & Connectivity; Security","In Progress","USD","1200.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002expmQAA","7014X000002expmQAA"
"LatAmENT","Colombia","LATAM_COL_BUC_EVENT_Vulnerability_May2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","05-23-2024","Security","Completed","USD","1500.00","","","0","USD","0.00","0","USD","0.00","USD","931.00","-100.0000000000","7014X000002exwiQAA","7014X000002exwiQAA"
"LatAmENT","Colombia","LATAM_COL_MED_ENT_SDWANTour_Nov_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","","61","09-18-2023","11-02-2023","Security","Completed","USD","1500.00","USD","3000.00","0","USD","0.00","0","USD","0.00","USD","1500.00","-100.0000000000","7014X0000036WisQAE","7014X0000036WisQAE"
"NetworksRegional","Colombia","NETWORKS_Event_AndinaLink_Mar2024","Camila Rodriguez","Advertisement","Event","Physical","Lead Generation","0","259","01-30-2024","01-30-2024","Networking & Connectivity","Completed","USD","19000.00","","","0","USD","0.00","0","USD","0.00","USD","15868.00","-100.0000000000","7014X000002zT3gQAE","7014X000002zT3gQAE"
"LatAmENT","Colombia","LATAM_COL_BOG_ENT_ACTCOLOMBIANA_MAY_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Brand Awareness","125","26","04-19-2023","05-25-2023","PUSH TO TALK","Completed","USD","4500.00","USD","3000.00","4","USD","1157493.23","1","USD","1095502.79","USD","1730.00","63223.8609203050","7014X000002PO9gQAG","7014X000002PO9gQAG"
"LatAmENT","Colombia","LATAM_COL_BAQ_ENT_LOGWARS_JUN_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","40","23","04-19-2023","07-11-2023","Security","Completed","USD","900.00","USD","3000.00","0","USD","0.00","0","USD","0.00","USD","100.00","-100.0000000000","7014X000002POA5QAO","7014X000002POA5QAO"
"","Colombia","NETWORKS_ITW_2023","Camila Rodriguez","Tradeshow","Event","Physical","Other","0","0","03-20-2023","03-20-2023","Networking","Completed","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000001ypL5QAI","7014X000001ypL5QAI"
"","Colombia","NETWORKS_Event_Andicom_Ent_Jul2023_e","Camila Rodriguez","Tradeshow","Email","Offer Email","Brand Awareness","37265","515","07-14-2023","09-06-2023","Networking","Completed","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002ehgvQAA","7014X000002ehgvQAA"
"LatAmSMB","Colombia","LATAM_COL_BOG_DesafiandoLosLimites_Mid_Nov_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","100","40","08-04-2023","11-23-2023","Networking","Completed","USD","2000.00","USD","2500.00","0","USD","0.00","0","USD","0.00","USD","1220.00","-100.0000000000","7014X000002emkbQAA","7014X000002emkbQAA"
"LatAmSMB","Colombia","LATAM_COL_BQ_DesafiandoLosLimites_Mid_OCT_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","100","12","08-04-2023","10-19-2023","Networking","Completed","USD","2000.00","USD","2500.00","6","USD","71385.40","1","USD","2429.70","USD","1325.00","83.3733047520","7014X000002emkgQAA","7014X000002emkgQAA"
"LatAmSMB","Colombia","LATAM_COL_MED_DesafiandoLosLimites_Mid_Nov_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","100","24","08-04-2023","11-02-2023","Networking","Completed","USD","2000.00","USD","2500.00","0","USD","0.00","0","USD","0.00","USD","1388.00","-100.0000000000","7014X000002emklQAA","7014X000002emklQAA"
"LatAmENT","Colombia","LATAM_COL_Enterprise_Event_VIPLinks_Jun2023","Camila Rodriguez","Special Events","Event","Physical","Sales Tracking","30","13","07-18-2023","06-21-2023","Security; It Solution","Completed","USD","52500.00","USD","25000.00","36","USD","2650458.59","19","USD","827455.11","USD","65279.00","1167.5670763495","7014X000002eiNxQAI","7014X000002eiNxQAI"
"LatAmENT","Colombia","LATAM_COL_Prod_CloudInterconnnect_Ent_Aug2023","Camila Rodriguez","Email","Email","Offer Email","Other","23719","17","08-02-2023","08-18-2023","It Solution","Completed","USD","200.00","USD","2000.00","0","USD","0.00","0","USD","0.00","USD","200.00","-100.0000000000","7014X000002elXWQAY","7014X000002elXWQAY"
"LatAmENT","Colombia","LATAM_COL_Event_LogwarsMedellin_Ent_Aug2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","50","42","08-02-2023","08-24-2023","Security","Completed","USD","1500.00","USD","2500.00","1","USD","708013.50","0","USD","0.00","USD","1000.00","-100.0000000000","7014X000002eldbQAA","7014X000002eldbQAA"
"LatAmENT","Colombia","LATAM_COL_Event_Andicom_Ent_Sep2023","Camila Rodriguez","Tradeshow","Event","","Brand Awareness","9362","573","07-14-2023","09-06-2023","Security; It Solution; Networking","Completed","USD","41000.00","USD","60000.00","10","USD","1217893.13","2","USD","272209.79","USD","39778.00","584.3224577255","7014X000002ehggQAA","7014X000002ehggQAA"
"LatAmENT","Colombia","LATAM_COL_Event_CiscoCali_Ent_Aug2023","Camila Rodriguez","Seminar / Conference","Event","","Sales Tracking","88","48","07-31-2023","08-17-2023","UC&C","Completed","USD","0.00","USD","2000.00","2","USD","9070.87","0","USD","0.00","USD","0.00","","7014X000002el8lQAA","7014X000002el8lQAA"
"LatAmENT","Colombia","LATAM_COL_BUC_AtaqueCibernetico_Ent_Sep2023","Camila Rodriguez","Seminar / Conference","Event","","Lead Generation","115","39","08-25-2023","09-15-2023","Security","Completed","USD","1000.00","USD","2500.00","5","USD","21813.27","0","USD","0.00","USD","200.00","-100.0000000000","7014X000002qrUhQAI","7014X000002qrUhQAI"
"","Colombia","NETWORKS_Info_NFTLiberty_Ent_May2023","Lorena Chavarria","Special Events","Event","Physical","Other","0","3","05-08-2023","05-08-2023","PUSH TO TALK","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002PPPhQAO","7014X000002PPPhQAO"
"LatAmENT","Colombia","LATAM_COL_Info_CountryManager_MSeg_May2023","Lorena Chavarria","Email","Email","Offer Email","Other","0","33","04-28-2023","04-28-2023","PUSH TO TALK","In Progress","","","","","1","USD","0.00","0","USD","0.00","","","","7014X000002POivQAG","7014X000002POivQAG"
"LatAmENT","Colombia","LATAM_COL_Event_AlcaldiaMedellin_Ent_Jul2023","Camila Rodriguez","Tradeshow","Event","Physical","Sales Tracking","0","887","08-04-2023","07-28-2023","Networking","Completed","USD","3000.00","USD","2500.00","0","USD","0.00","0","USD","0.00","USD","850.00","-100.0000000000","7014X000002emkqQAA","7014X000002emkqQAA"
"LatAmSMB","Colombia","LATAM_COL_CTG_ForoInternacionalOES_Mid_Sep_2023","Camila Rodriguez","Tradeshow","Event","Physical","Lead Generation","1000","5","08-04-2023","09-20-2023","Networking","Completed","USD","1500.00","USD","2000.00","3","USD","111127.69","1","USD","20085.49","USD","857.00","2243.6977028980","7014X000002emlAQAQ","7014X000002emlAQAQ"
"","Colombia","NETWORKS_Event_CALA_Ent_Nov2023","Roxanna Mateo","Special Events","Event","Physical","Other","0","4","11-27-2023","11-27-2023","PUSH TO TALK","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X0000022qqzQAA","7014X0000022qqzQAA"
"","Colombia","NETWORKS_Event_ITW2_Apr2023","Roxanna Mateo","Special Events","Event","Physical","Other","0","2","04-27-2023","04-27-2023","PUSH TO TALK","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002POcdQAG","7014X000002POcdQAG"
"","Colombia","NETWORKS_Event_VIPLinks_Jun2023","Roxanna Mateo","Special Events","Event","Physical","Other","0","10","03-28-2023","03-28-2023","PUSH TO TALK","In Progress","","","","","1","USD","300000.00","0","USD","0.00","","","","7014X000001yq3JQAQ","7014X000001yq3JQAQ"
"","Colombia","NETWORKS_Event_ITW_Mar2023","Roxanna Mateo","Special Events","Event","Physical","Other","0","9","03-20-2023","03-20-2023","PUSH TO TALK","In Progress","","","","","30","USD","24332974.18","6","USD","5332400.00","","","","7014X000001ypLAQAY","7014X000001ypLAQAY"
"LatAmENT","Dominican Republic","LATAM_DR_Congreso Resiliencia_Ent_Jul2023","Paola Yanez","Tradeshow","Event","Physical","Lead Generation","10","0","10-27-2023","07-19-2023","PUSH TO TALK","Completed","USD","0.00","USD","0.00","0","USD","0.00","0","USD","0.00","USD","6500.00","-100.0000000000","7014X0000022qKdQAI","7014X0000022qKdQAI"
"LatAmSMB","Dominican Republic","LATAM_DR_Empresarial_CalificacionTerritorio","Roxanna Mateo","Advertisement","Direct Sales","","Lead Generation","0","0","05-06-2024","05-06-2024","Networking & Connectivity","Planned","USD","0.00","","","0","USD","0.00","0","USD","0.00","USD","0.00","","7014X000001z3mAQAQ","7014X000001z3mAQAQ"
"LatAmENT","Dominican Republic","LATAM_DR_Prod_Huracanes_MSeg_Sep2023","Roxanna Mateo","Email","Email","Offer Email","Other","0","2","09-27-2023","09-27-2023","PUSH TO TALK","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X0000036WwGQAU","7014X0000036WwGQAU"
"LatAmENT","Dominican Republic","LATAM_DR__Event_SECURESDWAN_Nov2023","Roxanna Mateo","Seminar / Conference","Event","Physical","Lead Generation","35","21","09-27-2023","11-09-2023","Networking - SDWAN","Completed","USD","3000.00","USD","4050.00","7","USD","217050.24","1","USD","10800.00","","","","7014X000002XSMcQAO","7014X000002XSMcQAO"
"LatAmENT","Dominican Republic","LATAM_DR_Enterprise_OnetoFew_Sep _2023_Norte_","Roxanna Mateo","Seminar / Conference","Event","Physical","Sales Tracking","20","13","09-27-2023","09-20-2023","Security","Completed","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002XSMhQAO","7014X000002XSMhQAO"
"LatAmSMB","Dominican Republic","LATAM_DR_Empresarial_OnetoFew_Oct _2023","Roxanna Mateo","Seminar / Conference","Event","Physical","Lead Generation","20","12","10-05-2023","10-05-2023","Security","Completed","USD","1500.00","","","4","USD","96416.62","0","USD","0.00","","","","7014X000002XSXaQAO","7014X000002XSXaQAO"
"LatAmENT","Dominican Republic","LATAM_DR_WebsiteLeads_ 2024","Roxanna Mateo","Advertisement","Website","General Forms","Lead Generation","0","0","03-04-2024","01-01-2024","Other","In Progress","USD","0.00","","","4","USD","98902.00","0","USD","0.00","USD","0.00","","7014X0000022rz6QAA","7014X0000022rz6QAA"
"LatAmSMB","Dominican Republic","LATAM_DR_Empresarial_OnetoFew_Abril _2024_SD","Roxanna Mateo","Advertisement","Event","One-to-Few","Lead Generation","0","0","03-12-2024","04-19-2024","Networking & Connectivity","In Progress","USD","1000.00","","","6","USD","52606.65","0","USD","0.00","USD","1007.00","-100.0000000000","7014X0000022s5QQAQ","7014X0000022s5QQAQ"
"LatAmSMB","Dominican Republic","LATAM_DR_Empresarial_OnetoFew_Abril _2024_Norte_","Roxanna Mateo","Advertisement","Event","One-to-Few","Lead Generation","0","0","03-04-2024","04-12-2024","Security","In Progress","USD","1000.00","","","5","USD","46536.00","0","USD","0.00","USD","311.00","-100.0000000000","7014X0000022ryrQAA","7014X0000022ryrQAA"
"LatAmENT","Dominican Republic","LATAM_DR_Enterprise_OnetoFew_Mar _2024_Security","Roxanna Mateo","Advertisement","Event","One-to-Few","Lead Generation","0","0","03-04-2024","03-01-2024","Security","In Progress","USD","4000.00","","","3","USD","552000.00","0","USD","0.00","USD","2037.00","-100.0000000000","7014X0000022rywQAA","7014X0000022rywQAA"
"LatAmENT","Dominican Republic","LATAM_DR_Enterprise_One to One_Marzo_2024_SD","Roxanna Mateo","Advertisement","Event","One-to-One","Lead Generation","0","0","03-12-2024","03-06-2024","Networking & Connectivity; Security","In Progress","USD","500.00","","","1","USD","45000.00","1","USD","45000.00","USD","500.00","8900.0000000000","7014X0000022s5VQAQ","7014X0000022s5VQAQ"
"LatAmENT","Dominican Republic","LATAM_DR_Enterprise_OnetoFew_Abril _2024_SD_Partner","Roxanna Mateo","Advertisement","Event","One-to-Few","Lead Generation","0","0","05-02-2024","04-17-2024","Security","In Progress","USD","3000.00","","","3","USD","255851.10","1","USD","27971.10","USD","0.00","","7014X000001z3kAQAQ","7014X000001z3kAQAQ"
"LatAmENT","Dominican Republic","LATAM_DR_Enterprise_OnetoFew_Mayo_2024_SD_PartnerTenable","Roxanna Mateo","Advertisement","Event","One-to-Few","Lead Generation","0","0","05-13-2024","05-23-2024","Security","Planned","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000001z3qYQAQ","7014X000001z3qYQAQ"
"LatAmENT","Dominican Republic","DR_Enterprise_InsideSales_Finanzas_2023","Roxanna Mateo","Telemarketing","Telesales","","Lead Generation","0","0","02-14-2023","01-01-2023","MPLS; It Solution; Networking; DIA","In Progress","","","","","13","USD","347276.00","0","USD","0.00","","","","7014X000001ymu2QAA","7014X000001ymu2QAA"
"LatAmENT","Dominican Republic","LATAM_DR_Enterprise_OnetoFew_Feb_2023","Roxanna Mateo","Seminar / Conference","Event","","Lead Generation","0","0","01-24-2023","02-02-2023","Networking","Completed","","","","","0","USD","0.00","0","USD","0.00","USD","1500.00","-100.0000000000","7014X000001ykz5QAA","7014X000001ykz5QAA"
"LatAmENT","Dominican Republic","LATAM_DR_Enterprise_OnetoFew_Santiago_Mar_2023","Roxanna Mateo","Seminar / Conference","Event","","Lead Generation","30","0","02-20-2023","03-03-2023","It Solution; Networking","Completed","","","","","5","USD","44252.00","1","USD","11340.00","USD","1000.00","1034.0000000000","7014X000001ynSWQAY","7014X000001ynSWQAY"
"LatAmSMB","Dominican Republic","LATAM_DR_Prod_Awareness_Mid_Aug2023","Roxanna Mateo","Email","Email","Offer Email","Lead Generation","0","0","08-18-2023","08-18-2023","Networking","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002epA8QAI","7014X000002epA8QAI"
"LatAmENT","Dominican Republic","DR_Enterprise_OnetoOne_GOB_2023","Roxanna Mateo","One-to-One Sessions","Telesales","","Lead Generation","10","0","07-04-2023","01-01-2023","Security; Networking","In Progress","","","","","11","USD","1395853.11","1","USD","244800.00","","","","7014X000002egmeQAA","7014X000002egmeQAA"
"LatAmSMB","Dominican Republic","Inside Business MID DR","Roxanna Mateo","Telemarketing","Direct Sales","","","0","0","04-11-2023","01-01-2023","Networking","In Progress","","","","","0","DOP","0.00","0","DOP","0.00","","","","7014X000002PNKxQAO","7014X000002PNKxQAO"
"LatAmENT","Dominican Republic","LATAM_DR_Event_LogWars_Ent_May2023","Roxanna Mateo","Seminar / Conference","Event","","Other","46","6","04-27-2023","05-11-2023","Security","Completed","USD","3000.00","","","6","USD","449950.00","1","USD","12042.00","USD","3000.00","301.4000000000","7014X000002POciQAG","7014X000002POciQAG"
"LatAmENT","Dominican Republic","LATAM_DR_Enterprise_OnetoFew_Seguridad_Abr_2023","Roxanna Mateo","Seminar / Conference","Event","","Lead Generation","40","0","04-19-2023","04-20-2023","It Solution; Networking","Completed","","","","","5","USD","146578.30","3","USD","29478.30","USD","3000.00","882.6100000000","7014X000002POBNQA4","7014X000002POBNQA4"
"LatAmENT","Dominican Republic","Inside Business ENTERPRISE DR","Roxanna Mateo","Telemarketing","Direct Sales","","","0","0","04-11-2023","01-01-2023","Networking","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002PNL2QAO","7014X000002PNL2QAO"
"LatAmSMB","Dominican Republic","LATAM_DR_Prod_CloseLost_Mid_Jul2023","Roxanna Mateo","Telemarketing","Telesales","","Other","178","0","03-16-2023","03-16-2023","Networking","In Progress","","","USD","3000.00","0","USD","0.00","0","USD","0.00","USD","0.00","","7014X000001ypCXQAY","7014X000001ypCXQAY"
"LatAmSMB","Dominican Republic","LATAM_DR_MID_OnetoFew_Feb_2023","Roxanna Mateo","Seminar / Conference","Event","","Lead Generation","30","0","01-24-2023","02-09-2023","Networking","Completed","","","","","9","USD","390330.13","4","USD","195184.93","USD","1000.00","19418.4932862191","7014X000001ykz0QAA","7014X000001ykz0QAA"
"LatAmSMB","Dominican Republic","DRMidBiz_OnetoFew_2023_ParqueDuarte","Roxanna Mateo","Seminar / Conference","Event","","Lead Generation","10","0","06-27-2023","01-01-2023","Networking","Completed","","","","","2","USD","9600.00","1","USD","3408.00","USD","1000.00","240.8000000000","7014X000002egS5QAI","7014X000002egS5QAI"
